,label,时间,原始重量,稳定重量,轴重,su_ad,wpu_x,wpu_y,wpu_z,su_x,su_y,su_z,原始重量_diff,稳定重量_diff,轴重_diff,su_ad_diff,wpu_x_diff,wpu_y_diff,wpu_z_diff,su_x_diff,su_y_diff,su_z_diff,轨迹时间,速度,估计重量,原始重量加速度,稳定重量加速度,原始重量加速度_二阶,稳定重量加速度_二阶
0,0,2023-12-17 09:39:23,-4063,2020,-4375,33161,13662,326,76328,1867,-1010,87720,0,0,0,0,0,0,0,0,0,0,2023-12-17 09:39:28,0,0,0.0,0.0,0.0,0.0
1,0,2023-12-17 09:39:26,-4175,2020,-4364,33160,13636,327,76355,1867,-1010,87720,-112,0,11,-1,-26,1,27,0,0,0,2023-12-17 09:39:28,0,0,0.0,0.0,0.0,0.0
2,0,2023-12-17 09:39:30,-4575,2020,-4486,33171,13649,312,76342,1867,-1005,87725,-400,0,-122,11,13,-15,-13,0,5,5,2023-12-17 09:39:38,0,0,0.0,0.0,0.0,0.0
3,0,2023-12-17 09:39:32,-4330,2020,-4397,33163,13649,314,76342,1867,-999,87731,245,0,89,-8,0,2,0,0,6,6,2023-12-17 09:39:38,0,0,0.0,0.0,0.0,0.0
4,0,2023-12-17 09:39:35,-4442,2020,-4475,33170,13648,314,76343,1873,-1005,87720,-112,0,-78,7,-1,0,1,6,-6,-11,2023-12-17 09:39:38,0,0,0.0,0.0,0.0,0.0
5,0,2023-12-17 09:39:38,-4843,2020,-6223,33327,13625,-38,76367,1878,-796,87791,-401,0,-1748,157,-23,-352,24,5,209,71,2023-12-17 09:39:38,0,0,0.0,0.0,0.0,0.0
6,0,2023-12-17 09:39:41,-4190,2020,-4375,33161,13658,390,76330,1834,-1076,87725,653,0,1848,-166,33,428,-37,-44,-280,-66,2023-12-17 09:39:48,5,0,0.0,0.0,0.0,0.0
7,0,2023-12-17 09:39:44,-7025,2020,-12881,33925,13797,-1752,76012,1796,351,87604,-2835,0,-8506,764,139,-2142,-318,-38,1427,-121,2023-12-17 09:39:48,5,0,0.0,0.0,0.0,0.0
8,0,2023-12-17 09:39:47,-10373,2020,-18003,34385,13971,-3537,75467,1719,1757,87099,-3348,0,-5122,460,174,-1785,-545,-77,1406,-505,2023-12-17 09:39:48,5,0,0.0,0.0,0.0,0.0
9,0,2023-12-17 09:39:50,-18014,2020,-19250,34497,13801,-6229,74744,1944,4400,84896,-7641,0,-1247,112,-170,-2692,-723,225,2643,-2203,2023-12-17 09:39:58,34,0,0.0,0.0,0.0,0.0
10,0,2023-12-17 09:39:53,4331,2020,-267,32792,12909,-1428,76638,2669,1142,85424,22345,0,18983,-1705,-892,4801,1894,725,-3258,528,2023-12-17 09:39:58,34,0,0.0,0.0,0.0,0.0
11,0,2023-12-17 09:39:56,-7033,2020,-2104,32957,14395,-2487,75267,1955,2092,85797,-11364,0,-1837,165,1486,-1059,-1371,-714,950,373,2023-12-17 09:39:58,34,0,0.0,0.0,0.0,0.0
12,0,2023-12-17 09:39:59,-1398,2020,11322,31751,22641,-3136,66971,-4064,4092,82869,5635,0,13426,-1206,8246,-649,-8296,-6019,2000,-2928,2023-12-17 09:40:00,40,0,0.0,0.0,0.0,0.0
13,0,2023-12-17 09:40:02,22295,2020,9530,31912,24343,-2339,65428,-8679,3015,80095,23693,0,-1792,161,1702,797,-1543,-4615,-1077,-2774,2023-12-17 09:40:12,65,0,0.0,0.0,0.0,0.0
14,0,2023-12-17 09:40:05,-3841,2020,-6446,33347,14413,-3892,74939,549,3147,84495,-26136,0,-15976,1435,-9930,-1553,9511,9228,132,4400,2023-12-17 09:40:12,65,0,0.0,0.0,0.0,0.0
15,0,2023-12-17 09:40:23,-11200,2020,-12503,33891,11331,-2486,78354,4773,1142,84611,-7359,0,-6057,544,-3082,1406,3415,4224,-2005,116,2023-12-17 09:40:24,80,0,0.0,0.0,0.0,0.0
16,0,2023-12-17 09:40:26,-7715,2020,-2950,33033,12099,-903,77814,4163,390,85028,3485,0,9553,-858,768,1583,-540,-610,-752,417,2023-12-17 09:40:33,84,0,0.0,0.0,0.0,0.0
17,0,2023-12-17 09:40:29,-3328,2020,-1202,32876,14986,-1135,74927,1719,785,86583,4387,0,1748,-157,2887,-232,-2887,-2444,395,1555,2023-12-17 09:40:33,84,0,0.0,0.0,0.0,0.0
18,0,2023-12-17 09:40:32,-1512,2020,-3284,33063,15147,-1302,74752,983,758,86863,1816,0,-2082,187,161,-167,-175,-736,-27,280,2023-12-17 09:40:33,84,0,0.0,0.0,0.0,0.0
19,0,2023-12-17 09:40:35,-2449,2020,-4843,33203,14510,-1569,75381,1527,900,86874,-937,0,-1559,140,-637,-267,629,544,142,11,2023-12-17 09:40:43,90,0,0.0,0.0,0.0,0.0
20,0,2023-12-17 09:40:38,-523,2020,-1914,32940,15512,-483,74462,1290,38,87050,1926,0,2929,-263,1002,1086,-919,-237,-862,176,2023-12-17 09:40:43,90,0,0.0,0.0,0.0,0.0
21,0,2023-12-17 09:40:41,-968,2020,-4030,33130,15499,-313,74473,1466,-329,86511,-445,0,-2116,190,-13,170,11,176,-367,-539,2023-12-17 09:40:43,90,0,0.0,0.0,0.0,0.0
22,0,2023-12-17 09:40:44,-3718,2020,-2905,33029,14552,-256,75418,2087,-274,86281,-2750,0,1125,-101,-947,57,945,621,55,-230,2023-12-17 09:40:53,89,0,0.0,0.0,0.0,0.0
